3,1500
16,1490
24,1480
1,1470
2,1460
18,1455
14,1450
4,1430
32,1420
7,1410
70,1405
5,1400
15,1390
17,1380
12,1370
10,1350
27,1340
6,1330
30,1320
39,1310
53,1300
23,1290
28,1280
81,1260
8,1250
13,1240
19,1230
22,1220
62,1210
34,1190
21,1180
76,1160
9,1155
66,1150
20,1130
45,1120
63,1110
31,1090
44,1080
50,1070
26,1060
78,1050
49,1040
47,1030
48,1020
94,1010
77,990
93,980
46,950
69,940
35,930
37,920
29,910
43,895
36,890
59,880
25,870
86,860
67,850
61,830
64,820
55,800
42,790
87,780
57,760
68,750
60,740
84,710
75,700
56,680
71,660
72,640
40,590
100,570
65,560
80,540
11,520
52,510
82,500
41,490
89,470
91,460
79,450
33,430
38,420
54,410
74,380
105,370
58,360
95,350
92,340
51,330
88,320
101,310
90,300
85,280
99,260
104,250
73,220
103,200
97,190
98,150
106,140
83,130
110,120
111,90
108,80
109,70
107,60
102,50
96,10
